=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.10.07 15:13:29 =~=~=~=~=~=~=~=~=~=~=~=
™ÿAdafruit MPU6050 test!
MPU6050 Found!
Accelerometer range set to: +-8G
Gyro range set to: +- 500 deg/s
Filter bandwidth set to: 21 Hz

5016,-1.23,-0.10,7.35,-0.02,-0.04,-0.04
5071,-1.25,-0.10,7.33,-0.02,-0.04,-0.04
5127,-1.24,-0.09,7.34,-0.02,-0.04,-0.04
5182,-1.25,-0.09,7.35,-0.02,-0.04,-0.04
5238,-1.22,-0.10,7.32,-0.02,-0.04,-0.04
5294,-1.23,-0.10,7.31,-0.02,-0.04,-0.04
5349,-1.22,-0.09,7.35,-0.02,-0.04,-0.04
5404,-1.23,-0.10,7.34,-0.02,-0.04,-0.04
5459,-1.24,-0.11,7.34,-0.02,-0.04,-0.04
5516,-1.25,-0.09,7.31,-0.02,-0.04,-0.04
5571,-1.23,-0.09,7.34,-0.02,-0.04,-0.04
5626,-1.24,-0.10,7.36,-0.02,-0.04,-0.04
5682,-1.22,-0.08,7.33,-0.02,-0.04,-0.04
5737,-1.24,-0.10,7.34,-0.02,-0.04,-0.04
5793,-1.23,-0.11,7.36,-0.02,-0.04,-0.04
5849,-1.25,-0.10,7.33,-0.02,-0.04,-0.04
5904,-1.24,-0.09,7.33,-0.02,-0.04,-0.04
5959,-1.22,-0.11,7.34,-0.02,-0.04,-0.04
6016,-1.22,-0.10,7.35,-0.02,-0.04,-0.04
6071,-1.24,-0.08,7.34,-0.02,-0.04,-0.04
6126,-1.22,-0.11,7.33,-0.02,-0.04,-0.04
6181,-1.24,-0.11,7.31,-0.02,-0.04,-0.04
6237,-1.25,-0.11,7.33,-0.02,-0.04,-0.04
6293,-1.24,-0.08,7.33,-0.02,-0.04,-0.04
6348,-1.24,-0.10,7.35,-0.02,-0.04,-0.04
6404,-1.22,-0.12,7.34,-0.02,-0.04,-0.04
6459,-1.25,-0.10,7.35,-0.02,-0.04,-0.04
6514,-1.23,-0.09,7.35,-0.02,-0.04,-0.04
6571,-1.24,-0.11,7.34,-0.02,-0.04,-0.04
6626,-1.23,-0.11,7.31,-0.02,-0.04,-0.04
6681,-1.23,-0.10,7.35,-0.02,-0.04,-0.04
6736,-1.24,-0.11,7.32,-0.02,-0.04,-0.04
6792,-1.24,-0.10,7.31,-0.02,-0.04,-0.04
